1 次キー,プライマリーキー
2 次キー,セカンダリーキー
RHEL for Edge Container コミット,RHEL for Edge Container Commit
RHEL for Edge Container メージを組み込んだ,RHEL for Edge Container イメージを組み込んだ
RHEL for Edge コンテナーイメージ,RHEL for Edge Container イメージ
エッジコミット,edge-commit
オブザーバビリティ,可観測性
オブジェクト関係マッピングフレームワーク,オブジェクトリレーショナルマッピングフレームワーク
お勧め,推奨
カンマ,コンマ
クラスターリング,クラスタリング
クラスターンストール,クラスターインストール
クラ出力ディング,クラスローディング
クラ出力ド,クラスロード
コンピューティングノード,コンピュートノード
サブネットマネジャー,サブネットマネージャー
セキュアなシェル,セキュアシェル
ネットワークネットワーク,ネットワーク
パイソン,Python
パスイベート,パッシベート
バッファーリング,バッファリング
フィルターリング,フィルタリング
フェールオーバー,フェイルオーバー
フェールバック,フェイルバック
プレイブック,Playbook
プロセ出力ル,プロセスロール
ポッド,Pod
メンテーナンス,メンテナンス
メンテナーンス,メンテナンス
モニターリング,モニタリング
リフレッシュトークン,更新トークン
ルートレスルートフル,ルートレスとルートフル
主キー,プライマリーキー
二次キー,セカンダリーキー
出力ダー,スローダー
出力ル,スロール
承認ポリシー,認可ポリシー
承認要求,認可要求
技術プレビュー,テクノロジープレビュー
支援付きインストーラー,アシステッドインストーラー
既に,すでに
既定,デフォルト
最終顧客,エンドカスタマー
汚染,テイント
消費者,コンシューマー
画像,イメージ
計算ノード,コンピュートノード
設定設定,設定
設計図,ブループリント
